theta,modelo,FailRate,TTD_bruto_s,TTD_efetivo_s
0.05,LSTM-Baseline,0.0,0.0,0.0
0.05,LSTM-AF-KD,0.0,0.0,0.0
0.05,LSTM-TransKD,0.0,0.0,0.0
0.05,Transformer-Baseline,0.0,0.01128,0.01128
0.05,Transformer-AF-KD,0.0,0.0,0.0
0.082,LSTM-Baseline,0.0,0.00868,0.00868
0.082,LSTM-AF-KD,0.0,0.0,0.0
0.082,LSTM-TransKD,0.0,0.0,0.0
0.082,Transformer-Baseline,0.0,0.03125,0.03125
0.082,Transformer-AF-KD,0.0,0.0,0.0
0.115,LSTM-Baseline,0.0,0.01302,0.01302
0.115,LSTM-AF-KD,0.0,0.0,0.0
0.115,LSTM-TransKD,0.0,0.0,0.0
0.115,Transformer-Baseline,0.0,0.04167,0.04167
0.115,Transformer-AF-KD,0.0,0.00087,0.00087
0.147,LSTM-Baseline,0.0,0.02604,0.02604
0.147,LSTM-AF-KD,0.0,0.0,0.0
0.147,LSTM-TransKD,0.0,0.0,0.0
0.147,Transformer-Baseline,0.0,0.05556,0.05556
0.147,Transformer-AF-KD,0.0,0.00087,0.00087
0.179,LSTM-Baseline,0.0,0.03212,0.03212
0.179,LSTM-AF-KD,0.0,0.0,0.0
0.179,LSTM-TransKD,0.0,0.0,0.0
0.179,Transformer-Baseline,0.0,0.07205,0.07205
0.179,Transformer-AF-KD,0.0,0.01128,0.01128
0.212,LSTM-Baseline,0.0,0.0408,0.0408
0.212,LSTM-AF-KD,0.0,0.03819,0.03819
0.212,LSTM-TransKD,0.0,0.01997,0.01997
0.212,Transformer-Baseline,0.0,0.08941,0.08941
0.212,Transformer-AF-KD,0.0,0.14323,0.14323
0.244,LSTM-Baseline,0.0,0.04601,0.04601
0.244,LSTM-AF-KD,0.0,0.04601,0.04601
0.244,LSTM-TransKD,0.0,0.0408,0.0408
0.244,Transformer-Baseline,0.0,0.10938,0.10938
0.244,Transformer-AF-KD,0.0,0.29253,0.29253
0.276,LSTM-Baseline,0.0,0.04774,0.04774
0.276,LSTM-AF-KD,0.0,0.0599,0.0599
0.276,LSTM-TransKD,0.0,0.04167,0.04167
0.276,Transformer-Baseline,0.0,0.1224,0.1224
0.276,Transformer-AF-KD,0.0,0.3151,0.3151
0.309,LSTM-Baseline,0.0,0.05556,0.05556
0.309,LSTM-AF-KD,0.0,0.07465,0.07465
0.309,LSTM-TransKD,0.0,0.0625,0.0625
0.309,Transformer-Baseline,0.0,0.13368,0.13368
0.309,Transformer-AF-KD,0.0,0.34722,0.34722
0.341,LSTM-Baseline,0.0,0.0599,0.0599
0.341,LSTM-AF-KD,0.0,0.09115,0.09115
0.341,LSTM-TransKD,0.0,0.06944,0.06944
0.341,Transformer-Baseline,0.0,0.13802,0.13802
0.341,Transformer-AF-KD,0.0,0.375,0.375
0.374,LSTM-Baseline,0.0,0.07205,0.07205
0.374,LSTM-AF-KD,0.0,0.11024,0.11024
0.374,LSTM-TransKD,0.0,0.07726,0.07726
0.374,Transformer-Baseline,0.0,0.14323,0.14323
0.374,Transformer-AF-KD,0.0,0.38368,0.38368
0.406,LSTM-Baseline,0.0,0.07899,0.07899
0.406,LSTM-AF-KD,0.0,0.13108,0.13108
0.406,LSTM-TransKD,0.0,0.09722,0.09722
0.406,Transformer-Baseline,0.0,0.14757,0.14757
0.406,Transformer-AF-KD,0.0,0.41753,0.41753
0.438,LSTM-Baseline,0.0,0.08507,0.08507
0.438,LSTM-AF-KD,0.0,0.15885,0.15885
0.438,LSTM-TransKD,0.0,0.10243,0.10243
0.438,Transformer-Baseline,0.0,0.15017,0.15017
0.438,Transformer-AF-KD,0.0,0.42448,0.42448
0.471,LSTM-Baseline,0.0,0.09375,0.09375
0.471,LSTM-AF-KD,0.0,0.19444,0.19444
0.471,LSTM-TransKD,0.0,0.10677,0.10677
0.471,Transformer-Baseline,0.0,0.15278,0.15278
0.471,Transformer-AF-KD,0.0,0.44097,0.44097
0.503,LSTM-Baseline,0.0,0.1033,0.1033
0.503,LSTM-AF-KD,0.0,0.22656,0.22656
0.503,LSTM-TransKD,0.0,0.13368,0.13368
0.503,Transformer-Baseline,0.0,0.15712,0.15712
0.503,Transformer-AF-KD,0.0,0.46181,0.46181
0.535,LSTM-Baseline,0.0,0.11372,0.11372
0.535,LSTM-AF-KD,0.0,0.27951,0.27951
0.535,LSTM-TransKD,0.0,0.14757,0.14757
0.535,Transformer-Baseline,0.0,0.1658,0.1658
0.535,Transformer-AF-KD,0.0,0.49045,0.49045
0.568,LSTM-Baseline,0.0,0.13889,0.13889
0.568,LSTM-AF-KD,0.0,0.37674,0.37674
0.568,LSTM-TransKD,0.0,0.17274,0.17274
0.568,Transformer-Baseline,0.0,0.1684,0.1684
0.568,Transformer-AF-KD,0.0,0.5599,0.5599
0.6,LSTM-Baseline,0.0,0.16059,0.16059
0.6,LSTM-AF-KD,0.0,0.58941,0.58941
0.6,LSTM-TransKD,0.0,0.20226,0.20226
0.6,Transformer-Baseline,0.0,0.17014,0.17014
0.6,Transformer-AF-KD,0.0,0.63108,0.63108
