seed,modelo,t_s,coverage
45,LSTM-Baseline,4.29830,1.00000
45,LSTM-Baseline,4.33240,1.00000
45,LSTM-Baseline,4.36660,1.00000
45,LSTM-Baseline,4.40070,1.00000
45,LSTM-Baseline,4.43480,1.00000
45,LSTM-Baseline,4.46890,1.00000
45,LSTM-Baseline,4.50300,1.00000
45,LSTM-Baseline,4.53710,1.00000
45,LSTM-Baseline,4.57120,1.00000
45,LSTM-Baseline,4.60540,1.00000
45,LSTM-Baseline,4.63950,1.00000
45,LSTM-Baseline,4.67360,1.00000
45,LSTM-Baseline,4.70770,1.00000
45,LSTM-Baseline,4.74180,1.00000
45,LSTM-Baseline,4.77590,1.00000
45,LSTM-Baseline,4.81000,1.00000
45,LSTM-Baseline,4.84410,1.00000
45,LSTM-Baseline,4.87830,1.00000
45,LSTM-Baseline,4.91240,1.00000
45,LSTM-Baseline,4.94650,1.00000
45,LSTM-Baseline,4.98060,1.00000
45,LSTM-Baseline,5.01470,1.00000
45,LSTM-Baseline,5.04880,1.00000
45,LSTM-Baseline,5.08290,1.00000
45,LSTM-Baseline,5.11710,1.00000
45,LSTM-Baseline,5.15120,1.00000
45,LSTM-Baseline,5.18530,1.00000
45,LSTM-Baseline,5.21940,1.00000
45,LSTM-Baseline,5.25350,1.00000
45,LSTM-Baseline,5.28760,1.00000
45,LSTM-Baseline,5.32170,1.00000
45,LSTM-Baseline,5.35590,1.00000
45,LSTM-Baseline,5.39000,1.00000
45,LSTM-Baseline,5.42410,1.00000
45,LSTM-Baseline,5.45820,1.00000
45,LSTM-Baseline,5.49230,1.00000
45,LSTM-Baseline,5.52640,1.00000
45,LSTM-Baseline,5.56050,1.00000
45,LSTM-Baseline,5.59460,1.00000
45,LSTM-Baseline,5.62880,1.00000
45,LSTM-Baseline,5.66290,1.00000
45,LSTM-Baseline,5.69700,1.00000
45,LSTM-Baseline,5.73110,1.00000
45,LSTM-Baseline,5.76520,1.00000
45,LSTM-Baseline,5.79930,1.00000
45,LSTM-Baseline,5.83340,1.00000
45,LSTM-Baseline,5.86760,1.00000
45,LSTM-Baseline,5.90170,1.00000
45,LSTM-Baseline,5.93580,1.00000
45,LSTM-Baseline,5.96990,1.00000
45,LSTM-Baseline,6.00400,1.00000
45,LSTM-Baseline,6.03810,1.00000
45,LSTM-Baseline,6.07220,1.00000
