seed,system,theta,FR,TTDef,SupPct,F1
42,AF-TOI Fixed,0.1,0.0,0.015625,0.0,1.0
42,AF-TOI+MHEG (frozen),0.1,0.0,0.0234375,44.685509554140125,1.0
42,"Skip-RNN (matched-sup, lam=5e-05)",0.1,0.0,0.0,49.230360984802246,1.0
42,"Skip-RNN (safe, lam=0.005)",0.05,0.0,0.0,93.4049904346466,0.8664259927797834
43,AF-TOI Fixed,0.1,0.0,0.023437500000000003,0.0,1.0
43,AF-TOI+MHEG (frozen),0.1,0.0,0.025173611111111112,44.234341825902334,1.0
43,"Skip-RNN (matched-sup, lam=5e-05)",0.1,0.0,0.0,49.50239062309265,0.9917355371900827
43,"Skip-RNN (safe, lam=0.005)",0.05,0.0,0.0,93.61730217933655,0.8664259927797834
44,AF-TOI Fixed,0.1,0.0,0.015625000000000003,0.0,1.0
44,AF-TOI+MHEG (frozen),0.1,0.0,0.023437500000000003,46.1119957537155,1.0
44,"Skip-RNN (matched-sup, lam=5e-05)",0.1,0.0,0.0,44.04856562614441,1.0
44,"Skip-RNN (safe, lam=0.005)",0.05,0.0,0.0,93.51114630699158,0.8664259927797834
45,AF-TOI Fixed,0.1,0.016666666666666666,0.2893714689265537,0.0,0.9915966386554622
45,AF-TOI+MHEG (frozen),0.1,0.016666666666666666,0.33350988700564976,59.59394904458599,0.9915966386554622
45,"Skip-RNN (matched-sup, lam=0.0001)",0.1,0.0,0.0008680555555555556,60.93418598175049,1.0
45,"Skip-RNN (safe, lam=0.005)",0.05,0.0,0.0,93.7566339969635,0.8664259927797834
