seed,system,PreOcc,NormOcc,Ppre,Ppost
42,AF-TOI Fixed,0.04407922689762466,0.0,0.020317278535609756,0.539977492702504
42,AF-TOI+MHEG,0.038622620501456977,0.0,0.018582280926087453,0.5425400582452615
42,Skip-RNN matched,0.20654119876043453,0.0011261261261261261,0.08451340533792973,0.4096057042479515
42,Skip-RNN maxsup,0.1403125518188301,0.0365990990990991,0.10958639277766148,0.3786799181252718
43,AF-TOI Fixed,0.07263868023933258,0.0,0.03789501419402465,0.4812807078783711
43,AF-TOI+MHEG,0.05632825554211584,0.0,0.03043797960435768,0.4812319254502654
43,Skip-RNN matched,0.21113289756185036,0.0033783783783783786,0.0867861800827086,0.3991587373117606
43,Skip-RNN maxsup,0.5216763910210497,0.14808558558558563,0.12112507093697786,0.36178772362569966
44,AF-TOI Fixed,0.06291841964823658,0.0,0.023538021480392975,0.7595123057564099
44,AF-TOI+MHEG,0.046437754179654414,0.0,0.018196223506371702,0.7582027614116669
44,Skip-RNN matched,0.21935926104966166,0.0005630630630630631,0.08726584343239666,0.4040654276808103
44,Skip-RNN maxsup,0.5499674275486921,0.17680180180180177,0.11610785157730182,0.3732575914512078
45,AF-TOI Fixed,0.09394444721935113,0.0,0.05008512040440109,0.5417230136847745
45,AF-TOI+MHEG,0.06272946174296767,0.0,0.03463221462752699,0.5363100674779465
45,Skip-RNN matched,0.20890040665683016,0.0,0.08475232024987539,0.41809500033656755
45,Skip-RNN maxsup,0.28695947127361626,0.07376126126126126,0.11079287324100733,0.37939058436701695
