seed,dur_frames,dur_s,arm,FR,TTDef,SupPct,F1
42,2,0.208,matched,0.0,0.13771186440677963,52.37045884132385,0.9915966386554622
42,2,0.208,maxsup,0.0,0.7406426553672318,94.29086446762085,0.9711934156378601
42,6,0.625,matched,0.0,0.0078125,51.58253312110901,1.0
42,6,0.625,maxsup,0.0,0.5286458333333334,93.93696784973145,0.9795918367346939
42,10,1.042,matched,0.0,0.0017361111111111112,49.33226704597473,1.0
42,10,1.042,maxsup,0.0,0.3515625,93.45619678497314,0.9795918367346939
42,14,1.458,matched,0.0,0.0,48.210471868515015,1.0
42,14,1.458,maxsup,0.0,0.18663194444444448,93.235844373703,0.9795918367346939
42,18,1.875,matched,0.0,0.0,46.688032150268555,1.0
42,18,1.875,maxsup,0.0,0.07378472222222224,93.14236044883728,0.9795918367346939
42,22,2.292,matched,0.0,0.0,45.75320482254028,1.0
42,22,2.292,maxsup,0.0,0.03472222222222222,93.05555820465088,0.9795918367346939
42,31,3.229,matched,0.0,0.0,44.03044581413269,1.0
42,31,3.229,maxsup,0.0,0.0,93.24252009391785,0.9795918367346939
42,42,4.375,matched,0.0,0.0,43.29593777656555,1.0
42,42,4.375,maxsup,0.0,0.0,93.41613054275513,0.9795918367346939
42,50,5.208,matched,0.016666666666666666,0.16666666666666666,46.521103382110596,1.0
42,50,5.208,maxsup,0.008333333333333333,0.08333333333333333,93.68990659713745,0.9795918367346939
43,2,0.208,matched,0.0,0.07177871148459385,52.68429517745972,0.9916666666666667
43,2,0.208,maxsup,0.008403361344537815,0.6013358733323838,94.15732026100159,0.9296875
43,6,0.625,matched,0.0,0.004340277777777778,49.89316463470459,0.995850622406639
43,6,0.625,maxsup,0.008333333333333333,0.4711134453781512,93.90357732772827,0.933852140077821
43,10,1.042,matched,0.0,0.0,49.619388580322266,0.995850622406639
43,10,1.042,maxsup,0.0,0.28732638888888895,93.52964758872986,0.933852140077821
43,14,1.458,matched,0.0,0.0,49.55261945724487,0.995850622406639
43,14,1.458,maxsup,0.0,0.17881944444444448,93.30261945724487,0.933852140077821
43,18,1.875,matched,0.0,0.0,49.986642599105835,0.995850622406639
43,18,1.875,maxsup,0.0,0.07986111111111112,93.06890964508057,0.933852140077821
43,22,2.292,matched,0.0,0.0,50.02003312110901,0.995850622406639
43,22,2.292,maxsup,0.0,0.03125000000000001,93.04220080375671,0.933852140077821
