Seed,config_id,episodio_idx,Tipo,Omissao,TTDef
42,baseline_fixed,0,Abrupt,False,0.1042
42,baseline_fixed,1,Abrupt,False,0.0
42,baseline_fixed,2,Progressive,False,0.0
42,baseline_fixed,3,Progressive,False,0.0
42,baseline_fixed,4,Abrupt,False,0.625
42,baseline_fixed,5,Progressive,False,0.0
42,baseline_fixed,6,Progressive,False,0.0
42,baseline_fixed,7,Abrupt,False,0.1042
42,baseline_fixed,8,Abrupt,False,1.0417
42,baseline_fixed,9,Abrupt,False,0.0
42,baseline_fixed,10,Progressive,False,0.0
42,baseline_fixed,11,Abrupt,False,0.1042
42,baseline_fixed,12,Abrupt,False,0.1042
42,baseline_fixed,13,Progressive,False,0.0
42,baseline_fixed,14,Progressive,False,0.0
42,baseline_fixed,15,Progressive,False,0.0
42,baseline_fixed,16,Progressive,False,0.0
42,baseline_fixed,17,Progressive,False,0.0
42,baseline_fixed,18,Progressive,False,0.0
42,baseline_fixed,19,Progressive,False,0.0
42,baseline_fixed,20,Abrupt,False,0.0
42,baseline_fixed,21,Progressive,False,0.0
42,baseline_fixed,22,Progressive,False,0.0
42,baseline_fixed,23,Progressive,False,0.0
42,baseline_fixed,24,Progressive,False,0.0
42,baseline_fixed,25,Progressive,False,0.0
42,baseline_fixed,26,Abrupt,False,0.1042
42,baseline_fixed,27,Abrupt,False,0.625
42,baseline_fixed,28,Abrupt,False,0.0
42,baseline_fixed,29,Progressive,False,0.0
42,baseline_fixed,30,Progressive,False,0.2083
42,baseline_fixed,31,Abrupt,False,0.1042
42,baseline_fixed,32,Progressive,False,0.0
42,baseline_fixed,33,Progressive,False,0.0
42,baseline_fixed,34,Progressive,False,0.0
42,baseline_fixed,35,Progressive,False,0.0
42,baseline_fixed,36,Progressive,False,0.0
42,baseline_fixed,37,Abrupt,False,0.0
42,baseline_fixed,38,Progressive,False,0.0
42,baseline_fixed,39,Progressive,False,0.0
42,baseline_fixed,40,Abrupt,False,0.0
42,baseline_fixed,41,Progressive,False,0.0
42,baseline_fixed,42,Progressive,False,0.0
42,baseline_fixed,43,Abrupt,False,0.1042
42,baseline_fixed,44,Abrupt,False,0.7292
42,baseline_fixed,45,Abrupt,False,0.0
42,baseline_fixed,46,Progressive,False,0.0
42,baseline_fixed,47,Abrupt,False,0.0
42,baseline_fixed,48,Progressive,False,0.0
42,baseline_fixed,49,Progressive,False,0.0
42,baseline_fixed,50,Abrupt,False,0.1042
42,baseline_fixed,51,Progressive,False,0.0
42,baseline_fixed,52,Progressive,False,0.0
42,baseline_fixed,53,Abrupt,False,0.625
42,baseline_fixed,54,Progressive,False,0.0
42,baseline_fixed,55,Progressive,False,0.0
42,baseline_fixed,56,Abrupt,False,0.1042
42,baseline_fixed,57,Abrupt,False,0.0
42,baseline_fixed,58,Progressive,False,0.0
42,baseline_fixed,59,Progressive,False,0.0
42,baseline_fixed,60,Progressive,False,0.0
42,baseline_fixed,61,Progressive,False,0.0
42,baseline_fixed,62,Abrupt,False,0.1042
42,baseline_fixed,63,Progressive,False,0.0
42,baseline_fixed,64,Progressive,False,0.0
42,baseline_fixed,65,Progressive,False,0.0
42,baseline_fixed,66,Progressive,False,0.0
42,baseline_fixed,67,Progressive,False,0.0
42,baseline_fixed,68,Progressive,False,0.2083
42,baseline_fixed,69,Abrupt,False,0.625
42,baseline_fixed,70,Abrupt,False,0.0
42,baseline_fixed,71,Progressive,False,0.0
42,baseline_fixed,72,Progressive,False,0.0
42,baseline_fixed,73,Progressive,False,0.0
42,baseline_fixed,74,Progressive,False,0.0
42,baseline_fixed,75,Abrupt,False,0.0
42,baseline_fixed,76,Progressive,False,0.0
42,baseline_fixed,77,Abrupt,False,0.0
42,baseline_fixed,78,Progressive,False,0.0
42,baseline_fixed,79,Abrupt,False,0.0
42,baseline_fixed,80,Progressive,False,0.0
42,baseline_fixed,81,Progressive,False,0.0
42,baseline_fixed,82,Progressive,False,0.0
42,baseline_fixed,83,Abrupt,False,0.1042
42,baseline_fixed,84,Progressive,False,0.0
42,baseline_fixed,85,Progressive,False,0.0
42,baseline_fixed,86,Abrupt,False,0.7292
42,baseline_fixed,87,Abrupt,False,0.1042
42,baseline_fixed,88,Progressive,False,0.0
42,baseline_fixed,89,Progressive,False,0.0
42,baseline_fixed,90,Abrupt,False,0.9375
42,baseline_fixed,91,Progressive,False,0.0
42,baseline_fixed,92,Progressive,False,0.0
42,baseline_fixed,93,Abrupt,False,0.1042
42,baseline_fixed,94,Progressive,False,0.0
42,baseline_fixed,95,Progressive,False,0.1042
42,baseline_fixed,96,Abrupt,False,0.0
42,baseline_fixed,97,Progressive,False,0.0
42,baseline_fixed,98,Abrupt,False,0.9375
42,baseline_fixed,99,Progressive,False,0.0
42,baseline_fixed,100,Abrupt,False,0.0
42,baseline_fixed,101,Progressive,False,0.0
42,baseline_fixed,102,Abrupt,False,0.625
42,baseline_fixed,103,Abrupt,False,0.1042
42,baseline_fixed,104,Abrupt,False,0.0
42,baseline_fixed,105,Abrupt,False,0.0
42,baseline_fixed,106,Progressive,False,0.0
42,baseline_fixed,107,Abrupt,False,0.0
42,baseline_fixed,108,Abrupt,False,0.0
42,baseline_fixed,109,Abrupt,False,0.1042
42,baseline_fixed,110,Progressive,False,0.0
42,baseline_fixed,111,Abrupt,False,0.0
42,baseline_fixed,112,Progressive,False,0.0
42,baseline_fixed,113,Abrupt,False,0.1042
42,baseline_fixed,114,Progressive,False,0.1042
42,baseline_fixed,115,Progressive,False,0.0
42,baseline_fixed,116,Abrupt,False,0.1042
42,baseline_fixed,117,Progressive,False,0.0
42,baseline_fixed,118,Abrupt,False,0.0
42,baseline_fixed,119,Progressive,False,0.0
42,baseline_hybrid,0,Abrupt,False,0.1042
42,baseline_hybrid,1,Abrupt,False,0.0
42,baseline_hybrid,2,Progressive,False,0.0
42,baseline_hybrid,3,Progressive,False,0.0
42,baseline_hybrid,4,Abrupt,False,0.625
42,baseline_hybrid,5,Progressive,False,0.0
42,baseline_hybrid,6,Progressive,False,0.0
42,baseline_hybrid,7,Abrupt,False,0.1042
42,baseline_hybrid,8,Abrupt,False,1.0417
42,baseline_hybrid,9,Abrupt,False,0.0
42,baseline_hybrid,10,Progressive,False,0.0
42,baseline_hybrid,11,Abrupt,False,0.1042
42,baseline_hybrid,12,Abrupt,False,0.1042
42,baseline_hybrid,13,Progressive,False,0.0
42,baseline_hybrid,14,Progressive,False,0.0
42,baseline_hybrid,15,Progressive,False,0.0
42,baseline_hybrid,16,Progressive,False,0.0
42,baseline_hybrid,17,Progressive,False,0.0
