config_id,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,ECE_mean,ECE_std,FailRate_mean,FailRate_std,TTD_mean,TTD_std,TTDef_mean,TTDef_std,Lat_ms_mean,Lat_ms_std,Cost_ms_per_frame_mean,Cost_ms_per_frame_std,SkipPct_mean,SkipPct_std,FailRate_Progressive_mean,FailRate_Progressive_std,FailRate_Abrupt_mean,FailRate_Abrupt_std,TTD_Progressive_mean,TTD_Progressive_std,TTD_Abrupt_mean,TTD_Abrupt_std,TTDef_Progressive_mean,TTDef_Progressive_std,TTDef_Abrupt_mean,TTDef_Abrupt_std,N_Seeds,Seeds
aftkd_fixed,0.7507,0.2745,1.0,0.0,0.6604,0.3615,0.4975,0.2214,0.0042,0.0084,0.0443,0.0524,0.086,0.1356,0.9205,0.0622,0.9205,0.0622,0.0,0.0,0.0,0.0,0.0104,0.0208,1.4189,0.3906,0.0458,0.0844,0.0101,0.0101,0.1499,0.2926,4,"[42, 43, 44, 45]"
aftkd_hybrid,0.7507,0.2745,1.0,0.0,0.6604,0.3615,0.4971,0.2212,0.0042,0.0084,0.0597,0.0714,0.1014,0.1548,0.9205,0.0622,0.4733,0.0792,48.6565,7.3355,0.0,0.0,0.0104,0.0208,0.9697,0.2663,0.0632,0.1166,0.0311,0.0154,0.1674,0.3247,4,"[42, 43, 44, 45]"
baseline_fixed,0.3574,0.0964,1.0,0.0,0.2208,0.0728,0.6895,0.0068,0.0396,0.0524,0.2063,0.099,0.6021,0.6083,1.0151,0.1301,1.0151,0.1301,0.0,0.0,0.0,0.0,0.099,0.1311,0.4756,0.0993,0.5439,0.3076,0.0144,0.012,1.5335,1.5895,4,"[42, 43, 44, 45]"
baseline_hybrid,0.3542,0.1014,1.0,0.0,0.2188,0.0759,0.6899,0.0083,0.0396,0.0524,0.2777,0.1712,0.6735,0.6824,1.0151,0.1301,0.3998,0.1476,61.4568,8.819,0.0,0.0,0.099,0.1311,0.3704,0.1498,0.5726,0.3517,0.1067,0.0928,1.5622,1.6419,4,"[42, 43, 44, 45]"
