Seed,Modelo,Metodo,Teacher,Politica,F1,ECE,FailRate,TTD,TTDef,TTD_bruto,ThetaTTD,ThrEP,Lat_ms,SkipPct,Cost_ms_per_frame,ThetaTTD_Adapt,TTD_Adapt,DerivDelta,DerivProbFloor,DerivSmoothW,TTD_Deriv,N_Progressive,TTD_Progressive,FailRate_Progressive,TTD_Progressive_Adapt,TTD_Progressive_Deriv,N_Abrupt,TTD_Abrupt,FailRate_Abrupt,TTD_Abrupt_Adapt,TTD_Abrupt_Deriv
45,Transformer,AF-KD,BiLSTM,Fixa,1.000000,0.477300,0.000000,0.000900,0.000900,0.000900,0.150000,0.050000,1.406400,0.000000,1.406400,0.150000,0.000900,0.002000,0.120000,5,0.176200,72,0.001400,0.000000,0.001400,0.147600,48,0.000000,0.000000,0.000000,0.219200
42,LSTM,Baseline,None,Hibrida,0.876500,0.431900,0.083300,0.011300,0.844600,0.011300,0.100000,0.050000,1.083600,61.520000,0.417000,0.100000,0.011300,0.002000,0.120000,5,0.072900,72,0.000000,0.013900,0.000000,0.089700,48,0.028200,0.187500,0.028200,0.047700
42,LSTM,AF-KD,BiLSTM,Hibrida,0.875900,0.296400,0.000000,0.000900,0.000900,0.000900,0.120000,0.050000,0.403500,70.990000,0.117100,0.120000,0.000900,0.002000,0.150000,3,0.579900,72,0.000000,0.000000,0.000000,0.755200,48,0.002200,0.000000,0.002200,0.316800
42,Transformer,AF-KD,BiLSTM,Hibrida,0.995800,0.410800,0.008300,0.000000,0.083300,0.000000,0.300000,0.050000,1.399300,55.480000,0.622900,0.250000,0.000000,0.002000,0.180000,5,0.237000,72,0.000000,0.000000,0.000000,0.188100,48,0.000000,0.020800,0.000000,0.310300
43,LSTM,Baseline,None,Hibrida,0.840300,0.424800,0.166700,0.015600,1.682300,0.015600,0.100000,0.050000,1.429300,74.410000,0.365700,0.080000,0.011300,0.002000,0.100000,5,0.056400,72,0.000000,0.097200,0.000000,0.070900,48,0.039100,0.270800,0.028200,0.034700
43,Transformer,Baseline,None,Hibrida,0.857100,0.574700,0.250000,0.054700,2.554700,0.054700,0.100000,0.050000,1.424000,45.110000,0.781600,0.080000,0.042500,0.002000,0.100000,5,2.020800,72,0.057900,0.027800,0.046300,1.701400,48,0.049900,0.583300,0.036900,2.500000
43,Transformer,AF-KD,BiLSTM,Hibrida,1.000000,0.453900,0.000000,0.000900,0.000900,0.000900,0.300000,0.050000,1.411500,44.620000,0.781700,0.250000,0.000900,0.002000,0.180000,5,0.217900,72,0.000000,0.000000,0.000000,0.185200,48,0.002200,0.000000,0.002200,0.266900
44,Transformer,Baseline,None,Hibrida,1.000000,0.423000,0.000000,0.003500,0.003500,0.003500,0.120000,0.050000,4.966800,44.220000,2.770600,0.080000,0.002600,0.004000,0.100000,5,2.002600,72,0.005800,0.000000,0.004300,1.671000,48,0.000000,0.000000,0.000000,2.500000
44,Transformer,AF-KD,BiLSTM,Hibrida,1.000000,0.477500,0.000000,0.000900,0.000900,0.000900,0.250000,0.050000,5.216100,51.760000,2.516400,0.250000,0.000900,0.002000,0.180000,5,0.103300,72,0.001400,0.000000,0.001400,0.111400,48,0.000000,0.000000,0.000000,0.091100
45,LSTM,Baseline,None,Hibrida,0.869600,0.471000,0.000000,0.010400,0.010400,0.010400,0.100000,0.050000,1.405600,50.730000,0.692600,0.100000,0.010400,0.002000,0.100000,5,0.082500,72,0.000000,0.000000,0.000000,0.114300,48,0.026000,0.000000,0.026000,0.034700
45,LSTM,AF-KD,BiLSTM,Hibrida,0.937500,0.315800,0.000000,0.002600,0.002600,0.002600,0.150000,0.075000,0.417600,53.190000,0.195500,0.150000,0.002600,0.002000,0.150000,5,0.585900,72,0.000000,0.000000,0.000000,0.950500,48,0.006500,0.000000,0.006500,0.039100
45,Transformer,AF-KD,BiLSTM,Hibrida,1.000000,0.459900,0.000000,0.006900,0.006900,0.006900,0.150000,0.050000,1.406400,54.250000,0.643500,0.150000,0.006900,0.002000,0.120000,5,0.151900,72,0.008700,0.000000,0.008700,0.099800,48,0.004300,0.000000,0.004300,0.230000
