theta,modelo,FailRate,TTD_bruto_s,TTD_efetivo_s
0.05,LSTM-Baseline,0.0,0.0,0.0
0.05,LSTM-AF-KD,0.0,0.0,0.0
0.05,LSTM-TransKD,0.0,0.0,0.0
0.05,Transformer-Baseline,0.0,0.0,0.0
0.05,Transformer-AF-KD,0.0,0.0,0.0
0.082,LSTM-Baseline,0.0,0.0,0.0
0.082,LSTM-AF-KD,0.0,0.0,0.0
0.082,LSTM-TransKD,0.0,0.0,0.0
0.082,Transformer-Baseline,0.0,0.0,0.0
0.082,Transformer-AF-KD,0.0,0.0,0.0
0.115,LSTM-Baseline,0.0,0.0026,0.0026
0.115,LSTM-AF-KD,0.0,0.0,0.0
0.115,LSTM-TransKD,0.0,0.0,0.0
0.115,Transformer-Baseline,0.0,0.00087,0.00087
0.115,Transformer-AF-KD,0.0,0.0,0.0
0.147,LSTM-Baseline,0.0,0.00868,0.00868
0.147,LSTM-AF-KD,0.0,0.0,0.0
0.147,LSTM-TransKD,0.0,0.0,0.0
0.147,Transformer-Baseline,0.0,0.00087,0.00087
0.147,Transformer-AF-KD,0.0,0.0,0.0
0.179,LSTM-Baseline,0.0,0.01302,0.01302
0.179,LSTM-AF-KD,0.0,0.0,0.0
0.179,LSTM-TransKD,0.0,0.0,0.0
0.179,Transformer-Baseline,0.0,0.00347,0.00347
0.179,Transformer-AF-KD,0.0,0.0,0.0
0.212,LSTM-Baseline,0.0,0.02691,0.02691
0.212,LSTM-AF-KD,0.0,0.0,0.0
0.212,LSTM-TransKD,0.0,0.0,0.0
0.212,Transformer-Baseline,0.0,0.00521,0.00521
0.212,Transformer-AF-KD,0.0,0.0,0.0
0.244,LSTM-Baseline,0.0,0.04774,0.04774
0.244,LSTM-AF-KD,0.0,0.03559,0.03559
0.244,LSTM-TransKD,0.0,0.01823,0.01823
0.244,Transformer-Baseline,0.0,0.00868,0.00868
0.244,Transformer-AF-KD,0.0,0.0,0.0
0.276,LSTM-Baseline,0.0,0.0651,0.0651
0.276,LSTM-AF-KD,0.0,0.03906,0.03906
0.276,LSTM-TransKD,0.0,0.03559,0.03559
0.276,Transformer-Baseline,0.0,0.01042,0.01042
0.276,Transformer-AF-KD,0.0,0.00087,0.00087
0.309,LSTM-Baseline,0.0,0.07899,0.07899
0.309,LSTM-AF-KD,0.0,0.05729,0.05729
0.309,LSTM-TransKD,0.0,0.03906,0.03906
0.309,Transformer-Baseline,0.0,0.01389,0.01389
0.309,Transformer-AF-KD,0.0,0.00087,0.00087
0.341,LSTM-Baseline,0.0,0.08854,0.08854
0.341,LSTM-AF-KD,0.0,0.0599,0.0599
0.341,LSTM-TransKD,0.0,0.05382,0.05382
0.341,Transformer-Baseline,0.0,0.01736,0.01736
0.341,Transformer-AF-KD,0.0,0.01128,0.01128
0.374,LSTM-Baseline,0.0,0.09722,0.09722
0.374,LSTM-AF-KD,0.0,0.07552,0.07552
0.374,LSTM-TransKD,0.0,0.0625,0.0625
0.374,Transformer-Baseline,0.0,0.02344,0.02344
0.374,Transformer-AF-KD,0.0,0.05816,0.05816
0.406,LSTM-Baseline,0.0,0.10677,0.10677
0.406,LSTM-AF-KD,0.0,0.07899,0.07899
0.406,LSTM-TransKD,0.0,0.07812,0.07812
0.406,Transformer-Baseline,0.0,0.03038,0.03038
0.406,Transformer-AF-KD,0.0,0.39323,0.39323
0.438,LSTM-Baseline,0.0,0.11892,0.11892
0.438,LSTM-AF-KD,0.0,0.08941,0.08941
0.438,LSTM-TransKD,0.0,0.09115,0.09115
0.438,Transformer-Baseline,0.0,0.03212,0.03212
0.438,Transformer-AF-KD,0.0,0.43056,0.43056
0.471,LSTM-Baseline,0.0,0.13281,0.13281
0.471,LSTM-AF-KD,0.0,0.1033,0.1033
0.471,LSTM-TransKD,0.0,0.11285,0.11285
0.471,Transformer-Baseline,0.0,0.03299,0.03299
0.471,Transformer-AF-KD,0.0,0.53819,0.53819
0.503,LSTM-Baseline,0.0,0.14931,0.14931
0.503,LSTM-AF-KD,0.0,0.12934,0.12934
0.503,LSTM-TransKD,0.0,0.1441,0.1441
0.503,Transformer-Baseline,0.0,0.03299,0.03299
0.503,Transformer-AF-KD,0.0,0.64149,0.64149
0.535,LSTM-Baseline,0.0,0.16233,0.16233
0.535,LSTM-AF-KD,0.0,0.16667,0.16667
0.535,LSTM-TransKD,0.0,0.19097,0.19097
0.535,Transformer-Baseline,0.0,0.03385,0.03385
0.535,Transformer-AF-KD,0.0,0.67882,0.67882
0.568,LSTM-Baseline,0.0,0.17622,0.17622
0.568,LSTM-AF-KD,0.0,0.21962,0.21962
0.568,LSTM-TransKD,0.0,0.26997,0.26997
0.568,Transformer-Baseline,0.0,0.03993,0.03993
0.568,Transformer-AF-KD,0.0,0.77431,0.77431
0.6,LSTM-Baseline,0.0,0.19965,0.19965
0.6,LSTM-AF-KD,0.0,0.32639,0.32639
0.6,LSTM-TransKD,0.0,0.40365,0.40365
0.6,Transformer-Baseline,0.0,0.0434,0.0434
0.6,Transformer-AF-KD,0.0,0.8724,0.8724
