theta,modelo,FailRate,TTD_bruto_s,TTD_efetivo_s
0.05,LSTM-Baseline,0.0,0.0,0.0
0.05,LSTM-AF-KD,0.0,0.0,0.0
0.05,LSTM-TransKD,0.0,0.0,0.0
0.05,Transformer-Baseline,0.0,0.00521,0.00521
0.05,Transformer-AF-KD,0.0,0.0,0.0
0.082,LSTM-Baseline,0.0,0.00955,0.00955
0.082,LSTM-AF-KD,0.0,0.0,0.0
0.082,LSTM-TransKD,0.0,0.0,0.0
0.082,Transformer-Baseline,0.0,0.03299,0.03299
0.082,Transformer-AF-KD,0.0,0.0,0.0
0.115,LSTM-Baseline,0.0,0.01128,0.01128
0.115,LSTM-AF-KD,0.0,0.0,0.0
0.115,LSTM-TransKD,0.0,0.0,0.0
0.115,Transformer-Baseline,0.0,0.05208,0.05208
0.115,Transformer-AF-KD,0.0,0.0,0.0
0.147,LSTM-Baseline,0.0,0.01736,0.01736
0.147,LSTM-AF-KD,0.0,0.0,0.0
0.147,LSTM-TransKD,0.0,0.0,0.0
0.147,Transformer-Baseline,0.0,0.08854,0.08854
0.147,Transformer-AF-KD,0.0,0.0,0.0
0.179,LSTM-Baseline,0.0,0.02431,0.02431
0.179,LSTM-AF-KD,0.0,0.0,0.0
0.179,LSTM-TransKD,0.0,0.0,0.0
0.179,Transformer-Baseline,0.0,0.10243,0.10243
0.179,Transformer-AF-KD,0.0,0.0,0.0
0.212,LSTM-Baseline,0.0,0.03125,0.03125
0.212,LSTM-AF-KD,0.0,0.0,0.0
0.212,LSTM-TransKD,0.0,0.00694,0.00694
0.212,Transformer-Baseline,0.0,0.10938,0.10938
0.212,Transformer-AF-KD,0.0,0.0,0.0
0.244,LSTM-Baseline,0.0,0.03472,0.03472
0.244,LSTM-AF-KD,0.0,0.0,0.0
0.244,LSTM-TransKD,0.0,0.02257,0.02257
0.244,Transformer-Baseline,0.0,0.11458,0.11458
0.244,Transformer-AF-KD,0.0,0.0,0.0
0.276,LSTM-Baseline,0.0,0.03906,0.03906
0.276,LSTM-AF-KD,0.0,0.02604,0.02604
0.276,LSTM-TransKD,0.0,0.04167,0.04167
0.276,Transformer-Baseline,0.0,0.12326,0.12326
0.276,Transformer-AF-KD,0.0,0.0,0.0
0.309,LSTM-Baseline,0.0,0.0434,0.0434
0.309,LSTM-AF-KD,0.0,0.04774,0.04774
0.309,LSTM-TransKD,0.0,0.04514,0.04514
0.309,Transformer-Baseline,0.0,0.125,0.125
0.309,Transformer-AF-KD,0.0,0.0,0.0
0.341,LSTM-Baseline,0.0,0.04601,0.04601
0.341,LSTM-AF-KD,0.0,0.06771,0.06771
0.341,LSTM-TransKD,0.0,0.05642,0.05642
0.341,Transformer-Baseline,0.0,0.12847,0.12847
0.341,Transformer-AF-KD,0.0,0.0,0.0
0.374,LSTM-Baseline,0.0,0.05556,0.05556
0.374,LSTM-AF-KD,0.0,0.09896,0.09896
0.374,LSTM-TransKD,0.0,0.07378,0.07378
0.374,Transformer-Baseline,0.0,0.13802,0.13802
0.374,Transformer-AF-KD,0.0,0.0,0.0
0.406,LSTM-Baseline,0.0,0.0651,0.0651
0.406,LSTM-AF-KD,0.0,0.28125,0.28125
0.406,LSTM-TransKD,0.0,0.07465,0.07465
0.406,Transformer-Baseline,0.0,0.14323,0.14323
0.406,Transformer-AF-KD,0.0,0.0,0.0
0.438,LSTM-Baseline,0.0,0.07292,0.07292
0.438,LSTM-AF-KD,0.0,0.54167,0.54167
0.438,LSTM-TransKD,0.0,0.09549,0.09549
0.438,Transformer-Baseline,0.0,0.14757,0.14757
0.438,Transformer-AF-KD,0.0,0.0,0.0
0.471,LSTM-Baseline,0.0,0.08507,0.08507
0.471,LSTM-AF-KD,0.0,0.63455,0.63455
0.471,LSTM-TransKD,0.0,0.1033,0.1033
0.471,Transformer-Baseline,0.0,0.15365,0.15365
0.471,Transformer-AF-KD,0.0,0.29253,0.29253
0.503,LSTM-Baseline,0.0,0.09462,0.09462
0.503,LSTM-AF-KD,0.0,0.66753,0.66753
0.503,LSTM-TransKD,0.0,0.11632,0.11632
0.503,Transformer-Baseline,0.0,0.15799,0.15799
0.503,Transformer-AF-KD,0.0,0.32031,0.32031
0.535,LSTM-Baseline,0.0,0.10069,0.10069
0.535,LSTM-AF-KD,0.0,0.6901,0.6901
0.535,LSTM-TransKD,0.0,0.14236,0.14236
0.535,Transformer-Baseline,0.0,0.16233,0.16233
0.535,Transformer-AF-KD,0.0,0.43142,0.43142
0.568,LSTM-Baseline,0.0,0.12153,0.12153
0.568,LSTM-AF-KD,0.0,0.71267,0.71267
0.568,LSTM-TransKD,0.0,0.17014,0.17014
0.568,Transformer-Baseline,0.0,0.1684,0.1684
0.568,Transformer-AF-KD,0.0,0.4783,0.4783
0.6,LSTM-Baseline,0.0,0.15365,0.15365
0.6,LSTM-AF-KD,0.0,0.7474,0.7474
0.6,LSTM-TransKD,0.0,0.21701,0.21701
0.6,Transformer-Baseline,0.0,0.18229,0.18229
0.6,Transformer-AF-KD,0.0,0.55208,0.55208
