seed,dur_frames,dur_s,method,compute_rate,target_rate,budget_diff,match_mode,SupPct,FSonset,FSonsetSimple,FR,TTDef,F1,valid
44,18,1.875,AF-TOI+MHEG (frozen),0.525,0.525,0.0,frozen,47.5,0.0625,0.2023,0.0,0.4106,1.0,True
44,18,1.875,Baseline+MHEG (matched),0.5268,0.525,0.0036,tau_h,47.32,0.0625,0.2008,0.0,0.5955,0.1818,True
44,22,2.292,AF-TOI+MHEG (frozen),0.5153,0.5153,0.0,frozen,48.47,0.0667,0.1818,0.0083,0.4589,0.9958,True
44,22,2.292,Baseline+MHEG (matched),0.5182,0.5153,0.0057,tau_h,48.18,0.0667,0.1811,0.0083,0.5595,0.3099,True
44,31,3.229,AF-TOI+MHEG (frozen),0.5106,0.5106,0.0,frozen,48.94,0.0681,0.1265,0.0167,0.5613,0.9916,True
44,31,3.229,Baseline+MHEG (matched),0.5149,0.5106,0.0084,tau_h,48.51,0.0681,0.1273,0.0167,0.4968,0.6286,True
44,42,4.375,AF-TOI+MHEG (frozen),0.4808,0.4808,0.0,frozen,51.92,0.0806,0.1098,0.0917,1.104,0.952,True
44,42,4.375,Baseline+MHEG (matched),0.4888,0.4808,0.0168,tau_h,51.12,0.0847,0.1159,0.0167,0.5224,0.8837,True
44,50,5.208,AF-TOI+MHEG (frozen),0.4794,0.4794,0.0,frozen,52.06,0.0458,0.0765,0.0917,1.0638,0.952,True
44,50,5.208,Baseline+MHEG (matched),0.4846,0.4794,0.0109,tau_h,51.54,0.0556,0.0924,0.075,1.1441,0.9427,True
45,2,0.208,AF-TOI+MHEG (frozen),0.3874,0.3874,0.0,frozen,61.26,0.1493,0.4508,0.0167,0.5763,0.0952,True
45,2,0.208,Baseline+MHEG (matched),0.3853,0.3874,0.0053,tau_h,61.47,0.1369,0.4364,0.25,4.0752,0.0328,True
45,6,0.625,AF-TOI+MHEG (frozen),0.4051,0.4051,0.0,frozen,59.49,0.051,0.3538,0.0167,0.2903,0.0952,True
45,6,0.625,Baseline+MHEG (matched),0.4007,0.4051,0.0109,tau_h,59.93,0.1068,0.3773,0.225,3.5045,0.0952,True
45,10,1.042,AF-TOI+MHEG (frozen),0.4085,0.4085,0.0,frozen,59.15,0.1008,0.3697,0.0167,0.5869,0.0952,True
45,10,1.042,Baseline+MHEG (matched),0.4102,0.4085,0.0041,tau_h,58.98,0.2603,0.4818,0.1,2.0108,0.1538,True
45,14,1.458,AF-TOI+MHEG (frozen),0.4086,0.4086,0.0,frozen,59.14,0.1889,0.3568,0.0,0.5148,0.1102,True
45,14,1.458,Baseline+MHEG (matched),0.4072,0.4086,0.0034,tau_h,59.28,0.3569,0.5106,0.075,1.5327,0.1538,True
45,18,1.875,AF-TOI+MHEG (frozen),0.4092,0.4092,0.0,frozen,59.08,0.1528,0.2742,0.0,0.5113,0.1955,True
45,18,1.875,Baseline+MHEG (matched),0.4085,0.4092,0.0016,tau_h,59.15,0.3347,0.4674,0.0833,1.4451,0.1818,True
45,22,2.292,AF-TOI+MHEG (frozen),0.4026,0.4026,0.0,frozen,59.74,0.1861,0.2818,0.0083,0.5998,0.2857,True
45,22,2.292,Baseline+MHEG (matched),0.4005,0.4026,0.0053,tau_h,59.95,0.3375,0.4705,0.0833,1.4148,0.3099,True
45,31,3.229,AF-TOI+MHEG (frozen),0.3825,0.3825,0.0,frozen,61.75,0.1917,0.2538,0.0167,0.5648,0.4615,True
45,31,3.229,Baseline+MHEG (matched),0.3761,0.3825,0.0166,tau_h,62.39,0.3764,0.4902,0.0917,1.5101,0.5455,True
45,42,4.375,AF-TOI+MHEG (frozen),0.372,0.372,0.0,frozen,62.8,0.1236,0.1811,0.0167,0.3882,0.4211,True
45,42,4.375,Baseline+MHEG (matched),0.3664,0.372,0.0151,tau_h,63.36,0.2931,0.3485,0.2083,2.5296,0.7234,True
45,50,5.208,AF-TOI+MHEG (frozen),0.3571,0.3571,0.0,frozen,64.29,0.075,0.15,0.025,0.3675,0.3448,True
45,50,5.208,Baseline+MHEG (matched),0.3601,0.3571,0.0084,tau_h,63.99,0.2597,0.2788,0.2833,3.1071,0.7817,True
46,2,0.208,AF-TOI+MHEG (frozen),0.5475,0.5475,0.0,frozen,45.25,0.1358,0.4118,0.0,0.487,0.4615,True
46,2,0.208,Baseline+MHEG (matched),0.5514,0.5475,0.0072,tau_h,44.86,0.0641,0.3465,0.094,2.087,0.0488,True
46,6,0.625,AF-TOI+MHEG (frozen),0.5475,0.5475,0.0,frozen,45.25,0.0065,0.3136,0.0,0.7457,0.5185,True
46,6,0.625,Baseline+MHEG (matched),0.5549,0.5475,0.0135,tau_h,44.51,0.0038,0.2833,0.0,0.8628,0.125,True
46,10,1.042,AF-TOI+MHEG (frozen),0.5426,0.5426,0.0,frozen,45.74,0.025,0.2523,0.0,0.6901,0.6207,True
46,10,1.042,Baseline+MHEG (matched),0.5516,0.5426,0.0166,tau_h,44.84,0.0194,0.2235,0.0,0.6589,0.1679,True
46,14,1.458,AF-TOI+MHEG (frozen),0.5367,0.5367,0.0,frozen,46.33,0.0528,0.2182,0.0,0.6536,0.5882,True
46,14,1.458,Baseline+MHEG (matched),0.5469,0.5367,0.019,tau_h,45.31,0.0569,0.2038,0.0,0.533,0.1818,True
46,18,1.875,AF-TOI+MHEG (frozen),0.5271,0.5271,0.0,frozen,47.29,0.0569,0.1917,0.0,0.6545,0.5629,True
